partially;in part  in some degree  not wholly;kısmen;kısmen kısmen tamamen değil
photographic;concerning the art of making images with cameras;fotoğraf;kameralarla görüntü yapma sanatına ilişkin
planner;notebook for recording appointments or things to do;planlayıcı;veya şeyleri kaydetmek için 33 defter ...
problematic;being difficult to deal with or fix;sorunlu;başa çıkmak veya düzeltmek zor olmak
readily;in a quick and easy manner;kolayca;hızlı ve kolay bir şekilde
realism;accepting things as they are, not as you want;gerçekçilik;,Her şeyi olduğu gibi kabul etmek,, istediğiniz gibi değil,
realistic;looks or appears real  like things really are;gerçekçi;gerçek gibi görünüyor veya görünüyor
rewrite;to write again to improve, or correct errors;yeniden yazma;Hataları iyileştirmek veya düzeltmek için tekrar yazmak
ruler;someone who has control over a country or area;cetvel;Bir ülke veya bölge üzerinde kontrolü olan biri
sexuality;characterized and distinguished by sex;cinsellik;cinsiyete göre karakterize edilir ve ayırt edilir
simplify;to make something easier to do, use or understand;basitleştirmek;,bir şeyi yapmayı,, kullanmayı veya anlamayı kolaylaştırmak için,
sometime;at an unknown time in the future;bazen;gelecekte bilinmeyen bir zamanda
specialty;the specific area of your field;uzmanlık;alanınızın belirli alanı
subset;a small set which is part of a larger set;alt küme;daha büyük bir setin parçası olan küçük bir set
supposedly;as some people believe (shows you doubt it);sözde;Bazılarının inandığı gibi (şüphe ettiğinizi gösterir)
systematic;done in a thorough, logical or planned way;sistematik;,kapsamlı,, mantıklı veya planlı bir şekilde yapılır,
terribly;to an extreme degree  badly  very;korkunç;aşırı derecede çok kötü
thickness;the distance between the opposite edges of a thing;kalınlık;bir t'nin zıt kenarları arasındaki mesafe...
underneath;below or beneath something  under;altında;altında veya altında bir şeyin altında
unemployed;being without a job  jobless;işsiz;işsiz işsiz olmak
whichever;whatever one;hangisi;her neyse
whoever;whatever person  any person at all;kim olursa olsun;ne olursa olsun herhangi bir kişi
accent;a way of speaking that shows your dialect or class;aksan;lehçenizi veya dilinizi gösteren bir konuşma şekli...
actively;doing things to achieve a specific goal;aktif olarak;belirli bir hedefe ulaşmak için bir şeyler yapmak
adaptation;changing to a new form  thing that is changed;adaptasyon;değiştirilen yeni bir şekle dönüşen şey
adaptive;able to adjust to new conditions;uyarlanabilir;yeni koşullara uyum sağlayabilir
apple;hard round red or green fruit with a white center;elma;merkezli 57 sert yuvarlak kırmızı veya yeşil meyve
authority;people in positions of power, able to decide things;yetki;,kişi güç pozisyonlarında,, karar verebilen...,
availability;being present and able to be used;müsaitlik;mevcut ve kullanılabilir
bang;to strike something loudly or forcefully;patlama;bir şeye yüksek sesle veya şiddetle vurmak
bat;object used for hitting a ball in various games;yarasa;oyunlarda topa vurmak için kullanılan 61 nesne
blank;being empty  not filled out  with no writing on it;boş;boş yazısız doldurulmamış o...
bleed;to lose blood because of an injury;kanama;yaralanma nedeniyle kan kaybetmek
bound;to go to a specified place  to jump;bağlı;atlamak için belirli bir yere gitmek
broadly;in a general (not detailed) manner;genel olarak;genel (detaylı değil) bir şekilde
bucket;open container with a handle used to carry liquids;kova;Sıvı taşımak için kulplu açık konteyner...
calculation;process or result of using mathematics;hesaplama;matematik kullanma süreci veya sonucu
calculator;a small electronic device used for calculation;hesap makinesi;hesaplama için kullanılan küçük bir elektronik cihaz
characterization;the way someone or something is described;karakterizasyon;birinin veya bir şeyin tanımlanma şekli
cheat;To act in dishonest manner to gain an advantage;hile;Menfaat elde etmek için dürüst olmayan davranışlarda bulunmak
cheers;a toast used when raising your glass to drink;şerefe;Bardağınızı içmek için kaldırırken kullanılan bir tost
clever;Showing intelligence  quick to understand or learn;akıllı;Zekayı çabuk anlamak ya da...
clip;a metal holder used for keeping things together;klip;şeyleri bir arada tutmak için kullanılan metal bir tutucu
clue;a piece of information that helps explain a situation or provide a solution to a problem;ipucu;Bir konuyu açıklamaya yardımcı olan bir bilgi...
commentary;explanation or discussion of a written work/event;yorum;yazılı bir çalışmanın/olayın açıklaması veya tartışılması
commonly;typically, normally  not unusually;yaygın olarak;,tipik olarak,, normalde olağandışı değil,
comparable;being similar in some way;karşılaştırılabilir;bir şekilde benzer olmak
complication;action making something harder to do something;komplikasyon;bir şeyi yapmayı zorlaştıran eylem
conditional;depending (on);koşullu;bağlı (üzerine)
connector;a device that joins things together;konektör;şeyleri bir araya getiren bir cihaz
conscious;aware of what is going on around you  not knocked out;bilinçli;Etrafında olup bitenlerin farkında değil...
consciousness;being awake;bilinç;uyanık olmak
container;an object that can be used to hold things;konteyner;şeyleri tutmak için kullanılabilecek bir nesne
correction;a change to make something right;düzeltme;bir şeyi doğru yapmak için bir değişiklik
correctly;in an accurate or correct manner;doğru;doğru veya doğru bir şekilde
cure;a medicine or treatment that makes an ill person become healthy;tedavi;İnsanı hasta eden bir ilaç veya tedavi...
detection;the act of discovering something or solving a crime;algılama;Bir şeyi keşfetme ya da bir sorunu çözme eylemi...
developmental;concerning the development or growth;gelişimsel;gelişme veya büyüme ile ilgili
directive;formal an order from an authority;direktif;bir otoriteden resmi bir emir
disturbance;a noise or something that stops you from continuing what you were doing;rahatsızlık;bir gürültü ya da sizi devam etmekten alıkoyan bir şey...
economically;in an efficient manner  without using too much effort;ekonomik olarak;Çok fazla kullanmadan verimli bir şekilde...
economist;a person who studies economics;ekonomist;ekonomi okuyan bir kişi
enormously;extremely, by a large amount;muazzam;,son derece,, büyük miktarda,
equality;the idea that all people have the same rights;eşitlik;Bütün insanların aynı haklara sahip olduğu fikri
flip;to rotate or turn something over;çevirme;bir şeyi döndürmek veya ters çevirmek
ghost;spirit of a dead person, appearing to the living;hayalet;,ölü bir kişinin ruhu,, yaşayanlara görünen,
hedge;a fence made with small trees  avoid or try to avoid fulfilling;çit;Küçük ağaçlardan yapılmış bir çitten kaçının veya deneyin...
identification;(card or paper) that proves who a person is;kimlik;kişinin kim olduğunu kanıtlayan 98 (kart veya kağıt)
incredible;very hard to believe;inanılmaz;inanmak çok zor
incredibly;extremely, hard to believe;inanılmaz;,son derece,, inanması zor,
indicator;an instrument that shows conditions in a machine, such as temperature, speed, pressure  in chemistry: a compound that changes color in the presence of an acid or a base;göstergesi;Bir makinedeki koşulları gösteren bir alet...
individually;in a way involving only that person;ayrı ayrı;sadece o kişiyi içerecek şekilde
industrialization;process of creating and developing many businesses;sanayileşme;birçok iş yaratma ve geliştirme süreci...
industrialize;To make into something at an industrial level;sanayileşmek;Bir şeyi endüstriyel düzeyde yapmak
inequality;situation where things are not equal/fair;eşitsizlik;eşit/adil olmadığı 105 durum
influential;having the power to cause change  having influence;etkili;değişime neden olma gücüne sahip olmak...
instability;not stable  changeable;istikrarsızlık;sabit değil değiştirilebilir
intensity;great energy, strength, or concentration;yoğunluk;,büyük enerji,, güç veya konsantrasyon,
intensive;needing great effort for a short period of time;yoğun;kısa bir süre için büyük çaba gerektiren
interrupt;to cause something to stop happening for a time;kesinti;bir şeyin bir süreliğine durmasına neden olmak
interviewer;a person who asks questions to obtain information;görüşmeci;Bilgi almak için soru soran kişi
junior;someone lower in rank;genç;daha düşük rütbeli biri
kilometer;a metric unit of length equal to 1000 meters;kilometre;1000 metreye eşit uzunluk ölçüsü birimi
lab;laboratory  a place to do scientific experiments;laboratuvar;laboratuvar bilimsel deneyler yapmak için bir yer
likelihood;the chance that something might happen;olasılık;bir şeyin olma ihtimali
lump;a small hard part of something smooth, soft, or continuous;yumru;,pürüzsüz,, yumuşak,, o...,
mathematical;concerning numbers and equations;matematiksel;sayılar ve denklemlerle ilgili
memorize;to study something so that you remember it;ezberlemek;hatırlamak için bir şeyi incelemek
minus;(prep) being less than zero in number;eksi;(hazırlık) sayı olarak sıfırdan küçük
monkey;an animal related to humans, which lives in trees;maymun;ağaçlarda yaşayan insanlarla akraba bir hayvan
nasty;very bad, unpleasant, or offensive;kötü;,çok kötü,, hoş olmayan veya saldırgan,
nest;the home of a bird or spider;yuva;kuş veya örümceğin evi
observer;someone whose job it is to watch or notice things;gözlemci;işi bir şeyleri izlemek veya fark etmek olan biri
occurrence;specific instance of something happening;olay;bir şeyin belirli bir örneği
periodic;happening regularly, but not frequently;periyodik;,düzenli olarak oluyor,, ancak sık sık değil,
physically;in a manner related to the body;fiziksel olarak;bedenle ilgili bir şekilde
plug;an electrical connector  to fill or close tightly so liquid or air cannot pass;fiş;sıkı doldurmak veya kapatmak için bir elektrik konektörü...
politically;in connection with government matters;politik olarak;hükümet meseleleriyle bağlantılı olarak
positively;definitely or certainly;olumlu;kesinlikle veya kesinlikle
presume;to think that something is probably true;varsayım;bir şeyin muhtemelen doğru olduğunu düşünmek
processor;a machine or company that prepares something and makes it ready for use;işlemci;bir şey hazırlayan bir makine veya şirket...
productive;doing a lot of work and achieving a lot;üretken;çok çalışmak ve çok şey başarmak
productivity;rate at which something is made or that people work;üretkenlik;oranında bir şey yapılır ya da insanlar...
progression;process of developing over time;ilerleme;zamanla gelişen süreç
progressive;believing in modern ideas about social change;ilerici;sosyal değişimle ilgili modern fikirlere inanmak
projection;an image on a screen;projeksiyon;ekranda bir görüntü
pronounce;to make the sound of a word or letter with your voice;telaffuz;Bir kelimenin veya harfin sesini seninle çıkarmak için...
punch;to make a quick hit with a closed hand;yumruk;kapalı bir el ile hızlı bir vuruş yapmak
punish;to make someone suffer for bad behavior;cezalandırmak;birine kötü davranıştan dolayı acı çektirmek
punishment;the act of punishing someone;ceza;birini cezalandırma eylemi
purely;for no other reason  only and completely;tamamen;başka bir neden olmaksızın ve tamamen
quotation;words that a person has said or written in a play, book or movie;tırnak;kişinin bir dilde söylediği veya yazdığı 142 kelime...
ray;the lines of light coming from an object;ışın;bir nesneden gelen ışık çizgileri
reactive;easily reacting to  responsive;reaktif;duyarlılığa kolayca tepki veriyor
reactor;device to control nuclear energy as a power source;reaktör;güç olarak nükleer enerjiyi kontrol etmek için 145 cihazı...
recipe;directions for making something;yemek tarifi;bir şey yapmak için yönergeler
reliability;a quality that makes someone or something dependable and deserving of trust;güvenilirlik;Birini veya bir şeyi derinleştiren bir nitelik...
replacement;the act of putting something new in the place of something that is old, broken or missing;değiştirme;yerine yeni bir şey koyma eylemi...
resistant;not affected by something;dayanıklı;bir şeyden etkilenmemek
ridiculous;something that deserves laughter, is foolish or funny;gülünç;gülmeyi hak eden şey aptallıktır...
rope;a thick string made by twisting many fibers together;ip;Birçok lifin bükülmesiyle elde edilen kalın bir ip...
rub;to move something back and forth along a surface;ovmak;bir şeyi bir yüzey boyunca ileri geri hareket ettirmek
selective;choosing through thoughtful comparison;seçici;düşünceli karşılaştırma yoluyla seçim yapmak
separately;not with another person or thing;ayrı;başka bir kişi veya şeyle değil
separation;a line that seperates  a point of parting  a gap;ayrılık;bir boşluğu ayıran bir noktayı ayıran bir çizgi
similarity;the degree to which people or things are the same;benzerlik;insanların veya şeylerin aynı olma derecesi
slavery;(n,) the state of being a slave;kölelik;,(n,,) köle olma durumu,
snake;an animal with with a long thin body and no arms or legs;yılan;uzun ince gövdeli ve kılsız bir hayvan...
socially;being with other people;sosyal olarak;başkalarıyla birlikte olmak
specification;a detailed description of the design and materials used to make something.;spesifikasyon;tasarım ve malzemenin ayrıntılı bir açıklaması...
spray;to make water or liquid fly in very small drops;sprey;su veya sıvıyı çok küçük damlalar halinde uçurmak için
stabilize;to make something stable or consistent, with no major changes;stabilize;n ile istikrarlı veya tutarlı bir şey yapmak için ...
standardize;to change something in order to make everything the same or make everything agree;standardize etmek;her şeyi yapmak için bir şeyi değiştirmek...
sword;a long metal weapon with a sharp point and edge;kılıç;keskin bir ucu ve kenarı olan uzun bir metal silah
tech;short for 'technology' or 'technician';teknoloji;'teknoloji' veya 'teknisyen' için kısa
tempt;to make someone want something, even if it's bad;baştan çıkarıcı;kötü de olsa birinin bir şeyi istemesini sağlamak
tense;stretched tight and stiff;gergin;gergin sıkı ve sert
traditionally;something done in a customary or traditional manner;geleneksel olarak;geleneksel ya da geleneksel yöntemlerle yapılan bir şey...
tricky;difficult to do or deal with  something that needs skill;zor;yapmak ya da uğraşmak zor olan bir şey...
unstable;likely to move from its position or fall;kararsız;pozisyonundan hareket etmesi veya düşmesi muhtemel
variability;(statistics) degree scores depart from the mean;değişkenlik;(istatistik) derece puanları ortalamadan ayrılıyor
variance;(statistics) amount of difference in distributions;varyans;(istatistik) dağılımdaki fark miktarı...
variant;thing that differs from something of the same kind;varyant;Aynı şeyden farklı olan şey...
wisdom;knowledge gained from experience in life;bilgelik;deneyimlerden elde edilen 174 bilgi
absorb;to take in a liquid  soak up;emmek;sıvı emmek için
absorption;process of being absorbed (e.g. liquid, attention);emilim;,emilme süreci (örneğin sıvı,, dikkat...,
accelerate;to increase the speed or rate of something;hızlandırmak;bir şeyin hızını veya oranını artırmak için
acceleration;increase in the speed or rate of something;hızlanma;bir şeyin hızında veya oranında artış
accumulate;To gather or acquire so that you have more of it;biriktirmek;Daha fazlasına sahip olmak için toplamak veya elde etmek
accumulation;The act of getting or becoming bigger or more over time;birikim;Büyüme ya da büyüme ya da daha fazla olma eylemi ...
accuracy;being exactly right  correctness;doğruluk;tam olarak doğru doğruluk
accurately;exactly and without any mistakes  correctly;doğru;tam ve hatasız
acid;sour substance that reacts with metals e.g. lemon;asit;metallerle reaksiyona giren ekşi madde örn. Limon
acidic;containing acid;asidik;içeren asit
admission;the act of taking responsibility for an error or mistake;giriş;Bir hatanın sorumluluğunu üstlenme eylemi...
adolescent;Teenager developing into an adult;ergen;Genç bir yetişkine dönüşüyor
affirm;to state, strengthen or support a belief you have;onaylamak;,sahip olduğunuz bir inancı belirtmek,, güçlendirmek veya desteklemek,
agriculture;the science of farming;tarım;çiftçilik bilimi
alien;person or creature from a planet other than Earth;uzaylı;dışındaki bir gezegenden 189 kişi veya yaratık
alliance;A group of people or organizations being joined or associated;ittifak;Bir grup kişi ya da kuruluş katılıyor...
allocate;To distribute or set apart for a plan or purpose;tahsis;Bir plan veya amaç için dağıtmak veya ayırmak
allocation;The distribution of items set apart according to a plan or purpose;tahsis;Ayrılan öğelerin dağılımı ...
approximate;about  not exact but close;yaklaşık;hakkında kesin değil ama yakın
approximation;something that is similar, but not an exact copy;yaklaşımı;,benzer,, ancak tam bir kopyası olmayan bir şey,
archaeology;the study of ancient societies by looking at old tools, bones and buildings;arkeoloji;eski toplumların incelenmesine bakarak ...
architect;person who designs and advises on buildings;mimar;tasarlayan ve danışmanlık yapan 196 kişi
aspect;an element, feature, or quality of something;açı;,bir şeyin öğesi,, özelliği veya kalitesi,
assembly;a group of machine parts forming a tool or machine;montaj;bir alet veya makine oluşturan bir grup makine parçası...
assert;To state or declare your ideas positively strongly;iddia;Fikirlerinizi olumlu bir şekilde ifade etmek veya beyan etmek...
assignment;A duty that you are give to do (especially in the armed forces);atama;Yapmanız gereken bir görev (özellikle ...
athletic;fit and strong  physically capable;atletik;fit ve güçlü fiziksel olarak yetenekli
atom;smallest bit that matter can be broken down into;atom;bölünebileceği 202 en küçük bit
atomic;concerning atoms;atom;ilgili 203
audit;to examine carefully for accuracy;denetim;doğruluk için dikkatlice incelemek için
bacteria;the very small creatures that sometimes cause disease in humans and animals;bakteri;Bazen neden olan çok küçük yaratıklar ...
bacterial;concerning or caused by bacteria;bakteri;bakterilerle ilgili veya bakterilerin neden olduğu
bargain;something bought for a lower price than expected;pazarlık;beklenenden daha düşük bir fiyata satın alınan bir şey
beam;a long piece of metal or wood  a line of light or energy;ışın;uzun bir metal veya tahta parçası bir ışık çizgisi...
behavioral;concerning the way people act;davranışsal;insanların davranış biçimleriyle ilgili
candidate;a person who is selected by others as a contestant for an office or honor;aday;Başkaları tarafından yarışmacı olarak seçilen bir kişi...
cattle;cows or bulls on a farm;sığır;çiftlikte 211 inek veya boğa
circulate;to go round continuously;dolaşım;sürekli dolaşmak için
circulation;the movement of blood through the body;dolaşım;kanın vücuttaki hareketi
civilization;a highly developed society;medeniyet;son derece gelişmiş bir toplum
clarify;to state again so that a point is clearer;açıklığa kavuşturmak;bir noktanın daha net olması için tekrar belirtmek
client;person paying for professional services;müşteri;hizmetler için ödeme yapan 216 kişi
clinic;local medical center  department of a hospital;klinik;hastanenin 217 yerel tıp merkezi bölümü
colonial;of a system where one country controls another;sömürge;ülkenin diğerini kontrol ettiği bir sistemin 218'i
colony;country or settlement controlled by another country;koloni;başka bir şirket tarafından kontrol edilen ülke veya yerleşim...
communicative;talkative  cooperative in giving information;iletişimsel;vermede 220 konuşkan kooperatif
communist;believer in communism;komünist;komünizme inanan
compensate;to give (money) to as a form of correcting a loss;telafi;bir kaybı düzeltmenin bir yolu olarak (para) vermek
competent;fully qualified or capable of doing;yetkili;tam nitelikli veya yapabilecek kapasitede
composer;a music writer;besteci;bir müzik yazarı
conceive;to think of, or create, something new (e.g. idea, child);hamile kalmak;yeni bir şey düşünmek veya yaratmak için (ör. id...
conception;an idea or notion  the first stage in pregnancy;gebe kalma;bir fikir veya kavram hamileliğin ilk aşaması
conceptual;characterized by concepts or the forming of concepts;kavramsal;kavramlar veya ortak oluşumlar ile karakterize edilir ...
conduction;the transmission of heat, electricity or sound;iletim;,ısı,, elektrik veya ses iletimi,
conference;a meeting or series of meetings for discussion and exchange of information;konferans;tartışma için bir toplantı veya bir dizi toplantı...
confine;to keep something or someone within a limited area so it cannot escape;sınırlamak;bir şeyi ya da birini sınırlı bir çerçevede tutmak...
consent;to agree or allow to do something;rıza;kabul etmek veya bir şey yapmasına izin vermek
conservation;the management of land and water in ways that stop it from being damaged;koruma;toprak ve suyun yönetimi ...
conserve;to keep safe;koru;güvende tutmak için
constitution;a law determining the fundamental political principles of a government;anayasa;temel siyasi ilkeleri belirleyen bir yasa...
constrain;To make someone do something by strong persuasion or force;kısıtlama;Güçlü iknalarla birine bir şey yaptırmak...
consultation;a discussion between people to make a decision;danışma;karar vermek için insanlar arasında bir tartışma
consumption;how much is spent on things  the process of eating and drinking;tüketim;Her şey için ne kadar harcanıyor...
continent;one of the very large areas of land on Earth that are usually divided into several countries;kıta;Dünya üzerindeki çok geniş arazi alanlarından biri...
contradict;to disagree, to say the opposite is true;çelişki;,katılmamak,, aksini söylemek doğru,
contradiction;the act of saying that something is not true or very different;çelişki;Bir şeyin doğru olmadığını söyleme eylemi...
contradictory;containing information, statements, or beliefs that do not agree with one another;çelişkili;,bilgi,, ifade veya inanç içeren...,
controversy;strong public disagreement about something;tartışma;bir şey hakkında kamuoyunda güçlü anlaşmazlık
coordinate;to bring order and organization to something  in maths: any of the magnitudes that serve to define the position of a point or line by reference to a fixed figure or system of lines.;koordinat;bir şeye düzen ve düzen getirmek...
coordination;organizing people or things to make them work together effectively;koordinasyon;insanları veya şeyleri onları çalıştıracak şekilde organize etmek...
correlate;to show the relationship between two items or events.;bağıntı;veya iki öğe arasındaki ilişkiyi göstermek için ...
correlation;a measure of the relationship between two variables;korelasyon;iki değişken arasındaki ilişkinin bir ölçüsü...
correspondence;Communication by letters, emails or text messages;yazışma;,Mektup,, e-posta veya kısa mesaj yoluyla iletişim,
corruption;actions that are illegal or morally questionable, often performed by a person in a position of power;yolsuzluk;dışı veya ahlaki açıdan sorgulanabilir 248 eylem...
criteria;standard used to make judgments or decisions;kriter;veya karar vermek için kullanılan 249 standart
critically;in a way that is serious or dangerous  vitally;kritik;hayati derecede ciddi veya tehlikeli bir şekilde
crystal;a solid formed by the solidification of a chemical;kristal;Bir kimyanın katılaşmasıyla oluşan bir katı...
curriculum;group of related courses in a school or college;müfredat;okul veya kolejdeki 252 grup ilgili ders
cyclic;a series of regular and repeated actions;döngü;bir dizi düzenli ve tekrarlanan eylem
damp;a little wet;nemli;biraz ıslak
deliberately;in a careful, considered manner;kasten;,dikkatli,, düşünceli bir şekilde,
demonstrator;person who shows how something works e.g. product;gösterici;şeyin nasıl çalıştığını gösteren 256 kişi ör. ürün
dense;very thick and difficult to see/get through;yoğun;çok kalın ve görülmesi/geçilmesi zor
depict;to describe someone or something;tasvir;birini veya bir şeyi tanımlamak için
derivative;something that has developed or been obtained from something else;türev;geliştirilmiş veya elde edilmiş bir şey ...
dictate;to speak while another person (or computer) writes the words down;dikte;başka bir kişi (veya bilgisayar) yazarken konuşmak...
dimensional;having parts that extent in a number of directions;boyutlu;doğrudan bir dizi genişliğe sahip parçalara sahip ...
disability;a condition that limits a person's ability to do something;sakatlık;bir kişinin yeteneğini sınırlayan bir durum ...
discharge;to release someone or something;deşarj;birini veya bir şeyi serbest bırakmak
discourse;talk, conversation;konuşma;,konuşma,, konuşma,
discrimination;the ability to recognize the difference between things  treating different groups of people unfairly;ayrımcılık;arasındaki farkı tanıma yeteneği...
distribution;in statistics: an arrangement of values showing frequency of occurrence - in engineering: the way in which the fuel-air mixture is supplied to each cylinder of an engine - in commerce: delivery of products or services.;dağıtım;istatistikte: gösterilen değerlerin bir düzenlemesi...
diverse;very different from each other;çeşitli;birbirinden çok farklı
dominant;strongest;baskın;en güçlü
domination;authority  rule  control;​​hakimiyet;​​yetki kuralı kontrolü
dose;an amount of medicine to be taken at any one time;doz;herhangi bir zamanda alınması gereken ilaç miktarı
drain;a pipe that removes water, or other liquids;tahliye;suyu veya diğer sıvıları uzaklaştıran bir boru
drift;to move slowly;sürüklenme;yavaş hareket etmek
effectiveness;the degree of how well something works or is done;etkinlik;bir şeyin ne kadar iyi çalıştığı veya yapıldığı derecesi
elaborate;to be made or done with great care or with much detail;ayrıntılı;yapılacak veya büyük bir özenle veya muc...
elevate;to make something higher;yükseltmek;daha yüksek bir şey yapmak
elevation;the height of a place;yükseklik;bir yerin yüksekliği
elimination;the act or process of removing or being removed;eleme;kaldırma veya uzaklaştırma eylemi veya süreci
elite;important people of high status;elit;statülü 278 önemli insan
emergence;the process of emerging/coming out;ortaya çıkma;ortaya çıkma/çıkma süreci
emission;a substance (e.g. gas) released into the air;emisyon;havaya salınan bir madde (örneğin gaz)
emit;formal to release or send out (a gas, etc);yaymak;,resmi salıverilmesi veya gönderilmesi (gaz,, vb.),
enforcement;the act or process of making sure that rules are followed;yaptırım;bir kuralın olduğundan emin olma eylemi veya süreci...
essentially;basically, primarily;esasen;,temelde,, öncelikle,
estimation;judgment  opinion  guess at the value of;tahmini;yargı görüş değerinde tahmin
evident;plain, clear;belirgin;,sade,, açık,
evolutionary;concerning evolution;evrimsel;evrimle ilgili
execute;To kill someone, usually as an official punishment;yürütmek;,Birini öldürmek,, genellikle resmi bir ceza olarak...,
execution;killing a person as a (usually legal) punishment;yürütme;(genellikle yasal) bir ceza olarak bir kişiyi öldürmek
explicit;definite  clearly stated  specific;açık;kesin açıkça belirtilmiş özel
explicitly;clearly  specifically;açıkça;açıkça özellikle
exploit;to use something or someone selfishly or unethically;istismar;Bir şeyi ya da birini bencilce ya da ahlak dışı kullanmak...
fabric;cloth;kumaş;kumaş
facilitate;To make an action or process easier;kolaylaştırmak;Bir eylemi veya süreci kolaylaştırmak için
faculty;the teachers in a school or college;fakülte;okul veya kolejdeki öğretmenler
fertility;the state of a female being able to produce young;doğurganlık;dişinin yavru doğurabilme durumu
fiber;a thin, threadlike part of an animal hair or plant tissue  an artificial thread  body cells that form muscles and nerves  a food substance;lif;bir hayvan kılı veya p...
flesh;the soft parts of the body;et;vücudun yumuşak kısımları
flexibility;the quality of being able to be bent or stretched;esneklik;bükülebilme veya gerilebilir olma niteliği
formally;in a formal manner  officially;resmen;resmen resmi bir şekilde
formulation;the development of a plan, system, or proposal;formülasyon;,bir planın,, sistemin veya teklifin geliştirilmesi,
founds;to be based on, started or created by;bulundu;,temel alınacak,, başlatılacak veya oluşturulacak,
fundamentally;in a basic and important way;temelde;temel ve önemli bir şekilde
genetically;caused or controlled, or by genes;genetik olarak;neden olunan veya kontrol edilen veya genler tarafından
genetics;the scientific study of genes, how a living things develop between generations;genetik;,genlerin bilimsel çalışması,, bir canlının nasıl...,
globalization;international spread of something, e.g. company;küreselleşme;,Bir şeyin uluslararası yayılması,, ör. şirket,
goods;general term for things that are bought or sold;mal;alınıp satılan şeyler için genel terim
grasp;to grip something firmly with the hands;kavramak;bir şeyi elleriyle sıkıca kavramak
gravity;the force that makes things fall down towards the ground;yerçekimi;şeyleri aşağı doğru çeken güç ...
gross;total amount  extreme or unreasonable;brüt;toplam tutar aşırı veya mantıksız
hip;the upper part of the leg;kalça;bacağın üst kısmı
ideology;ideas or beliefs which form theory and policy;ideoloji;ve politikayı oluşturan 311 fikir veya inanç
immune;not affected by something, such as a disease;bağışıklık;hastalık gibi bir şeyden etkilenmez
impact;a striking effect or result to hit with force;darbe;Çarpıcı bir etki veya kuvvetle vurma sonucu
independently;in a manner being free from the control of another;bağımsız;anonun kontrolünden bağımsız bir şekilde...
inevitably;happening with complete certainty;kaçınılmaz olarak;tam bir kesinlikle oluyor
infect;to give someone a disease;enfekte;birine hastalık vermek
infectious;capable of causing infection, by the spreading of a bacteria or virus to others;bulaşıcı;enfeksiyona neden olabilen 317...
initiate;to start;başlatmak;için 318
initiation;a formal entry into an organization, position or office;başlatma;,bir kuruluşa resmi bir giriş,, pozisyon ...,
inject;to put medicine into someone with a syringe;enjekte;şırıngalı birine ilaç koymak
injection;a way to put (inject) a drug or another substance into your body;enjeksiyon;Bir ilacı veya başka bir maddeyi koymanın (enjekte etmenin) bir yolu...
insert;to put something in something;ekleme;bir şeyin içine bir şey koymak
